ALG,GATES,PLANES,TIME
FCFS,1,4,68.83333333
FCFS,5,13,120.9565217
FCFS,2,14,127
FCFS,6,5,85
FCFS,3,7,91.9
FCFS,7,22,168.7777778
FCFS,2,9,103.1666667
FCFS,8,12,114.0909091
FCFS,9,18,149.3
FCFS,5,6,80.5
FCFS,5,24,182.3043478
FCFS,5,20,154.7692308
FCFS,4,14,127.826087
FCFS,5,7,85.375
FCFS,6,12,118.8235294
FCFS,8,14,125.3333333
FCFS,6,18,152.6363636
FCFS,9,5,73.63636364
FCFS,6,2,45.35294118
FCFS,8,4,69
FCFS,3,2,45.93333333
FCFS,2,2,51
FCFS,5,21,150.5
FCFS,4,20,154.35
FCFS,1,22,151.875
FCFS,1,18,129.5882353
FCFS,2,17,147
FCFS,5,16,131.25
FCFS,8,12,116.75
FCFS,7,21,163.5
FCFS,4,18,148.8095238
FCFS,2,18,148.875
FCFS,4,24,195.4
FCFS,7,1,42.4
FCFS,9,16,139.25
FCFS,3,4,76.625
FCFS,4,1,38.4
FCFS,5,23,173.3125
FCFS,4,12,118.25
FCFS,6,22,169.15
FCFS,1,11,101.9090909
FCFS,1,23,154.9444444
FCFS,2,17,144.0869565
FCFS,7,13,123.9130435
FCFS,6,21,167.6
FCFS,1,21,146.0833333
FCFS,4,13,122.0666667
FCFS,8,20,157.5
FCFS,8,5,76.2
FCFS,3,1,36.56521739
FCFS,1,9,91.61111111
FCFS,6,24,179.75
FCFS,7,14,130.8125
FCFS,5,9,96.61904762
FCFS,5,22,156
FCFS,1,1,31.33333333
FCFS,6,4,66.55
FCFS,4,5,75.3
FCFS,6,23,173
FCFS,7,9,99.6
FCFS,7,24,179.8571429
FCFS,2,5,78.47826087
FCFS,8,20,160.8333333
FCFS,3,21,153.6666667
FCFS,2,19,153.4444444
FCFS,9,10,100.5909091
FCFS,2,20,160.3333333
FCFS,8,4,65.66666667
FCFS,2,8,107.3125
FCFS,1,15,118.625
FCFS,3,11,119.0416667
FCFS,4,14,131.6363636
FCFS,7,5,70.47368421
FCFS,3,22,171.5555556
FCFS,3,18,151
FCFS,5,2,47.55555556
FCFS,5,8,88.16666667
FCFS,5,21,159.2941176
FCFS,8,14,127.2666667
FCFS,8,8,90.95
FCFS,2,2,51.66666667
FCFS,4,3,57.6
FCFS,2,11,149
FCFS,3,4,69.47368421
FCFS,9,24,181.1666667
FCFS,4,12,115.6086957
FCFS,3,7,88.71428571
FCFS,3,11,121.5882353
FCFS,6,8,100.0769231
FCFS,1,8,84.61111111
FCFS,8,23,172.1428571
FCFS,8,9,99.76190476
FCFS,6,10,110
