ALGORITHM,GATES,PLANES,TIME,,,
FWCHECK,7,10,135.2,,,
FWCHECK,8,12,151.5,,,
FWCHECK,5,4,73.875,,,
FWCHECK,1,5,63,,,
FWCHECK,5,21,220.2631579,,,
FWCHECK,8,19,197,,,
FWCHECK,1,21,141.5384615,,,
FWCHECK,6,20,210.2608696,,,
FWCHECK,7,24,239,,,
FWCHECK,9,22,232.5909091,,,
FWCHECK,2,13,264.2,,,
FWCHECK,8,8,113.3809524,,,
FWCHECK,8,18,193.2272727,,,
FWCHECK,9,18,187,,,
FWCHECK,7,1,40.76923077,,,
FWCHECK,3,2,49.23529412,,,
FWCHECK,5,1,37.75,,,
FWCHECK,9,22,236.8888889,,,
FWCHECK,6,6,90.5,,,
FWCHECK,5,15,194,,,
FWCHECK,2,3,79,,,
FWCHECK,6,11,138.8571429,,,
FWCHECK,5,23,238.1363636,,,
FWCHECK,1,11,88.6875,,,
FWCHECK,2,11,166,,,
FWCHECK,8,10,136,,,
FWCHECK,9,8,110.0952381,,,
FWCHECK,8,19,199.6363636,,,
FWCHECK,6,21,213.2,,,
FWCHECK,1,15,110,,,
FWCHECK,2,21,380.4285714,,,
FWCHECK,6,24,238.1428571,,,
FWCHECK,6,23,225.8947368,,,
FWCHECK,2,20,325.6666667,,,
FWCHECK,6,12,145.8888889,,,
FWCHECK,5,9,112.5833333,,,
FWCHECK,8,6,98.6,,,
FWCHECK,3,5,83.52631579,,,
FWCHECK,3,18,201.0666667,,,
FWCHECK,6,5,88.11111111,,,
FWCHECK,3,16,156,,,
FWCHECK,5,9,124.4615385,,,
FWCHECK,5,18,188.4782609,,,
FWCHECK,5,7,106.3846154,,,
FWCHECK,5,19,200.1666667,,,
FWCHECK,3,17,185.05,,,
FWCHECK,5,23,231.8571429,,,
FWCHECK,4,11,147.25,,,
FWCHECK,7,13,153.1666667,,,
FWCHECK,3,17,177.047619,,,
FWCHECK,8,11,137.875,,,
FWCHECK,2,2,57.91666667,,,
FWCHECK,1,6,69.26315789,,,
FWCHECK,6,14,167.5,,,
FWCHECK,9,8,143,,,
FWCHECK,4,13,160.2222222,,,
FWCHECK,1,19,136.3684211,,,
FWCHECK,3,3,63,,,
FWCHECK,3,22,228,,,
FWCHECK,8,7,100.3478261,,,
FWCHECK,1,3,56.19047619,,,
FWCHECK,8,6,108.2,,,
FWCHECK,7,6,91.35294118,,,
FWCHECK,5,1,40,,,
FWCHECK,4,5,84.4,,,
FWCHECK,2,3,79,,,
FWCHECK,9,21,215.6363636,,,
FWCHECK,9,2,58.57142857,,,
FWCHECK,3,6,100.8333333,,,
FWCHECK,2,22,377.2857143,,,
FWCHECK,9,21,218.0909091,,,
FWCHECK,5,5,85.85714286,,,
FWCHECK,1,20,136.0714286,,,
FWCHECK,3,17,173.6666667,,,
FWCHECK,7,9,118.3157895,,,
FWCHECK,9,21,217.0714286,,,
FWCHECK,8,5,84.95238095,,,
FWCHECK,4,12,135,,,
FWCHECK,1,15,110.5238095,,,
FWCHECK,9,24,231.75,,,
